episode,timestep,reward
27136, 553200, 19.3117
27156, 553800, 17.31
27176, 554400, 18.0651
27197, 555000, 16.3136
27217, 555600, 19.8705
27238, 556200, 15.8833
27257, 556800, 22.7245
27276, 557400, 19.7894
27294, 558000, 18.3527
27314, 558600, 18.8087
27336, 559200, 14.1884
27355, 559800, 19.9901
27376, 560400, 18.0615
27398, 561000, 16.0626
27418, 561600, 19.7633
27436, 562200, 21.4422
27456, 562800, 18.6349
27475, 563400, 21.5471
27495, 564000, 18.9559
27516, 564600, 18.2773
27533, 565200, 24.7503
27552, 565800, 20.3596
27573, 566400, 17.7853
27594, 567000, 18.7356
27613, 567600, 17.7604
27632, 568200, 19.1493
27652, 568800, 21.025
27672, 569400, 17.3081
27692, 570000, 17.3653
27711, 570600, 19.2328
27734, 571200, 18.1651
27756, 571800, 13.7189
27776, 572400, 20.2076
27797, 573000, 20.6536
27817, 573600, 18.749
27837, 574200, 15.6706
27857, 574800, 18.7627
27879, 575400, 17.2299
27897, 576000, 20.1111
27917, 576600, 19.4521
27938, 577200, 16.5758
27957, 577800, 20.488
27974, 578400, 21.7802
27994, 579000, 17.4068
28013, 579600, 21.1155
28034, 580200, 16.9035
28054, 580800, 17.0762
28073, 581400, 19.2879
28092, 582000, 22.0649
28112, 582600, 19.7375
28131, 583200, 17.3347
28151, 583800, 15.9651
28171, 584400, 20.0855
28189, 585000, 23.0029
28208, 585600, 18.9634
28227, 586200, 17.7225
28246, 586800, 22.0399
28264, 587400, 19.7579
28282, 588000, 20.527
28304, 588600, 17.673
28322, 589200, 21.3117
28340, 589800, 22.5181
28361, 590400, 18.7206
28380, 591000, 19.2859
28399, 591600, 18.5726
28419, 592200, 19.1741
28437, 592800, 21.7131
28456, 593400, 20.7095
28476, 594000, 19.4298
28496, 594600, 20.1755
28514, 595200, 19.6817
28533, 595800, 18.774
28554, 596400, 19.675
28574, 597000, 18.1512
28593, 597600, 18.9853
28614, 598200, 17.3464
28636, 598800, 17.7662
28655, 599400, 21.2852
28675, 600000, 20.3262
28694, 600600, 17.5696
28715, 601200, 19.4369
28734, 601800, 19.8896
28754, 602400, 18.8388
28773, 603000, 18.4751
28793, 603600, 18.343
28813, 604200, 18.5991
28834, 604800, 16.2491
28855, 605400, 15.6643
28874, 606000, 18.5017
28896, 606600, 15.0287
28915, 607200, 15.1425
28936, 607800, 16.9471
28957, 608400, 14.977
28978, 609000, 14.3508
28998, 609600, 18.4453
29017, 610200, 18.3006
29038, 610800, 17.3261
29057, 611400, 21.2825
29076, 612000, 19.773
29095, 612600, 18.4989
29115, 613200, 17.0152
29136, 613800, 14.859
29156, 614400, 16.1536
29174, 615000, 22.3565
29196, 615600, 16.8897
29215, 616200, 21.4095
29234, 616800, 20.052
29252, 617400, 19.9171
29271, 618000, 20.874
29289, 618600, 21.9337
29308, 619200, 19.2139
29327, 619800, 14.6362
29347, 620400, 18.2334
29366, 621000, 19.9168
29386, 621600, 14.8694
29405, 622200, 22.4862
29423, 622800, 20.8071
29443, 623400, 15.5964
29462, 624000, 20.3243
29481, 624600, 19.5743
29500, 625200, 19.5195
29518, 625800, 20.6449
29537, 626400, 21.1328
29559, 627000, 14.4408
29579, 627600, 17.821
29598, 628200, 18.6061
29619, 628800, 15.199
29639, 629400, 15.3525
29660, 630000, 20.0837
29680, 630600, 18.7507
29700, 631200, 20.4636
29717, 631800, 22.8925
29736, 632400, 19.4721
29756, 633000, 19.42
29775, 633600, 19.5979
29796, 634200, 17.0747
29814, 634800, 19.2834
29833, 635400, 19.7778
29855, 636000, 18.9779
29874, 636600, 17.6337
29892, 637200, 22.2176
29912, 637800, 21.9554
29931, 638400, 20.4021
29952, 639000, 16.7179
29973, 639600, 15.6514
29993, 640200, 19.2516
30012, 640800, 20.4196
30030, 641400, 20.5253
30049, 642000, 18.4597
30068, 642600, 20.1087
30087, 643200, 20.6102
30105, 643800, 24.56
30124, 644400, 18.464
30144, 645000, 20.0379
30162, 645600, 21.7654
30181, 646200, 18.7477
30202, 646800, 15.6861
30222, 647400, 17.3746
30241, 648000, 21.7069
30260, 648600, 19.4466
